Day,Price,Q10,Q90
1408,10.8687,10.6117276368506,105.049289362374
1415,11.6515,10.9273096396107,107.735966554873
1422,12.4821,11.2506495847769,110.477587696853
1429,12.5,11.58189858298,113.274997633093
1436,13.29,11.9212099244509,116.129049954654
1443,13.3,12.2687390995518,119.040607045918
1450,13.312,12.6246438193973,122.010540131649
1457,13.45,12.9890840365683,125.039729324064
1464,13.454,13.3622219659172,128.129063669941
1471,14.116,13.7442221054644,131.279441197738
1478,15.7,14.1352512573861,134.491768964733
1485,17.8182,14.5354785490945,137.766963104192
1492,20.59,14.9450754544079,141.105948872546
1499,23.9698,15.3642158148136,144.509660696604
1506,26.8146,15.7930758608218,147.97904222077
1513,29.89,16.2318342334091,151.51504635429
1520,34.5,16.6806720055563,155.118635318524
1527,46,17.139772703875,158.790780694224
1534,47.4,17.6093223303258,162.532463468842
1541,71.5,18.0895093840288,166.344674083862
1548,93.03,18.5805248831632,170.228412482139
1555,162.301,19.0825623869601,174.184688155265
1562,90,19.595818017785,178.214520190969
1569,119.2,20.1204904833113,182.318937320499
1576,134.4444,20.6567810987853,186.498977966069
1583,115.98,21.2048938093817,190.755690288293
1590,114.82,21.7650352126505,195.090132233653
1597,122.5,22.3374145810536,199.503371581982
1604,133.5,22.9222438845932,203.996485993966
1611,122.5,23.519737813531,208.570563058675
1618,100.4374,24.1301138011977,213.226700341093
1625,99.9,24.753592046893,217.966005429686
1631,108.2,25.2985992526102,222.095308650536
1639,97.51,26.0407500774492,227.69859978217
1646,76.5,26.7048842981272,232.694154768716
1653,94.4199,27.3830296949012,237.777409102003
1660,91.998,28.0754206435924,242.949521201983
1667,98.78,28.7822944252954,248.211659797855
1674,105.12,29.5038912499117,253.56500397576
1681,105,30.2404542797743,259.010743226481
1688,113.38,30.992229653364,264.55007749319
1695,122.111,31.7594665091121,270.184217219178
1702,146.01,32.5424170092978,275.914383395646
1709,126.315,33.3413363640338,281.741807609465
1716,138.3002,34.1564828553407,287.667732090989
1723,134,34.9881178613156,293.693409761886
1730,143.884,35.8365058803862,299.820104282961
1737,137.8,36.7019145556587,306.049090102032
1744,147.53,37.5846146993539,312.381652501781
1751,186.12,38.4848803173339,318.819087647677
1758,207.0001,39.4029886337189,325.362702635857
1765,224.01,40.339220115593,332.013815541085
1772,336.331,41.2938584978022,338.773755464671
1779,528.3199,42.2671908078399,345.643862582451
1786,795,43.2595073908246,352.625488192769
1793,1004.4239,44.2711019345642,359.719994764467
1800,804,45.302271494714,366.928755984913
1807,920,46.3533165200227,374.253156808022
1814,629,47.4245408776662,381.694593502324
1821,728.299999999999,48.5162518786753,389.254473699014
1828,910,49.62876030345,396.934216440051
1835,827.24,50.7623804273642,404.735252226257
1842,835.9,51.9174300464599,412.659023065439
